Wavenumber,Intensity
8.600000000000000000e+01,2.515196078431372584e+01
8.700000000000000000e+01,2.515196078431372584e+01
8.800000000000000000e+01,2.516666666666666785e+01
8.900000000000000000e+01,2.516666666666666785e+01
9.000000000000000000e+01,2.515196078431372584e+01
9.100000000000000000e+01,2.515196078431372584e+01
9.200000000000000000e+01,2.516666666666666785e+01
9.300000000000000000e+01,2.516666666666666785e+01
9.400000000000000000e+01,2.515196078431372584e+01
9.500000000000000000e+01,2.459803921568627416e+01
9.600000000000000000e+01,2.456617647058823195e+01
9.700000000000000000e+01,2.464705882352940947e+01
9.800000000000000000e+01,2.540686274509803866e+01
9.900000000000000000e+01,2.596078431372548678e+01
1.000000000000000000e+02,2.680637254901960986e+01
1.010000000000000000e+02,2.781127450980392268e+01
1.020000000000000000e+02,2.774509803921568718e+01
1.030000000000000000e+02,2.670588235294117752e+01
1.040000000000000000e+02,2.587254901960784181e+01
1.050000000000000000e+02,2.535049019607843590e+01
1.060000000000000000e+02,2.522794117647059053e+01
1.070000000000000000e+02,2.518627450980392268e+01
1.080000000000000000e+02,2.527941176470588402e+01
1.090000000000000000e+02,2.514705882352940947e+01
1.100000000000000000e+02,2.526225490196078383e+01
1.110000000000000000e+02,2.557107843137255188e+01
1.120000000000000000e+02,2.587500000000000000e+01
1.130000000000000000e+02,2.648529411764706154e+01
1.140000000000000000e+02,2.648774509803921617e+01
1.150000000000000000e+02,2.678431372549019329e+01
1.160000000000000000e+02,2.708823529411764852e+01
1.170000000000000000e+02,2.767156862745098067e+01
1.180000000000000000e+02,2.786519607843137081e+01
1.190000000000000000e+02,2.864705882352941657e+01
1.200000000000000000e+02,2.918627450980392268e+01
1.210000000000000000e+02,2.962500000000000000e+01
1.220000000000000000e+02,3.030637254901960986e+01
1.230000000000000000e+02,3.086029411764706154e+01
1.240000000000000000e+02,3.100000000000000000e+01
1.250000000000000000e+02,3.110539215686274517e+01
1.260000000000000000e+02,3.112990196078431282e+01
1.270000000000000000e+02,3.197058823529411953e+01
1.280000000000000000e+02,3.290686274509803866e+01
1.290000000000000000e+02,3.371078431372549034e+01
1.300000000000000000e+02,3.334313725490196134e+01
1.310000000000000000e+02,3.359068627450980671e+01
1.320000000000000000e+02,3.423774509803921262e+01
1.330000000000000000e+02,3.626960784313725128e+01
1.340000000000000000e+02,3.846813725490196134e+01
1.350000000000000000e+02,3.950980392156862564e+01
1.360000000000000000e+02,3.937745098039216174e+01
1.370000000000000000e+02,3.902941176470588402e+01
1.380000000000000000e+02,3.754166666666666430e+01
1.390000000000000000e+02,3.675980392156862564e+01
1.400000000000000000e+02,3.611274509803921973e+01
1.410000000000000000e+02,3.599264705882352899e+01
1.420000000000000000e+02,3.634313725490196134e+01
1.430000000000000000e+02,3.603186274509803866e+01
1.440000000000000000e+02,3.495343137254901933e+01
1.450000000000000000e+02,3.415686274509803866e+01
1.460000000000000000e+02,3.297303921568627771e+01
1.470000000000000000e+02,3.241911764705881893e+01
1.480000000000000000e+02,3.238725490196078027e+01
1.490000000000000000e+02,3.237990196078430927e+01
1.500000000000000000e+02,3.268872549019608442e+01
1.510000000000000000e+02,3.299754901960783826e+01
1.520000000000000000e+02,3.381862745098039369e+01
1.530000000000000000e+02,3.421568627450979960e+01
1.540000000000000000e+02,3.482598039215686470e+01
