Wavenumber,Intensity
1.190000000000000000e+02,3.573747662314728096e-02
1.200000000000000000e+02,3.519759383768375494e-02
1.210000000000000000e+02,3.477628153188650623e-02
1.220000000000000000e+02,3.448118919868638915e-02
1.230000000000000000e+02,3.442254533983148818e-02
1.240000000000000000e+02,3.455178464350903977e-02
1.250000000000000000e+02,3.493960454721084519e-02
1.260000000000000000e+02,3.546701343777752119e-02
1.270000000000000000e+02,3.610462257895274973e-02
1.280000000000000000e+02,3.683757033295042421e-02
1.290000000000000000e+02,3.762968313526851571e-02
1.300000000000000000e+02,3.862305754918855111e-02
1.310000000000000000e+02,3.952108299258218910e-02
1.320000000000000000e+02,4.018966070819984110e-02
1.330000000000000000e+02,4.059016036179956960e-02
1.340000000000000000e+02,4.079332220549543309e-02
1.350000000000000000e+02,4.086370875593163532e-02
1.360000000000000000e+02,4.111520762590356592e-02
1.370000000000000000e+02,4.141280067593507141e-02
1.380000000000000000e+02,4.153805359328105462e-02
1.390000000000000000e+02,4.142391886803713924e-02
1.400000000000000000e+02,4.093229046529285597e-02
1.410000000000000000e+02,3.993185975947127070e-02
1.420000000000000000e+02,3.896174421251621250e-02
1.430000000000000000e+02,3.889812951022103560e-02
1.440000000000000000e+02,3.984976829521130748e-02
1.450000000000000000e+02,4.164179854828930355e-02
1.460000000000000000e+02,4.359329744246515093e-02
1.470000000000000000e+02,4.492046150081847877e-02
1.480000000000000000e+02,4.571351150962151000e-02
1.490000000000000000e+02,4.610097823228329061e-02
1.500000000000000000e+02,4.586722023147227906e-02
1.510000000000000000e+02,4.498351178942490425e-02
1.520000000000000000e+02,4.343163150556605262e-02
1.530000000000000000e+02,4.151559454240318081e-02
1.540000000000000000e+02,3.995866346605589370e-02
1.550000000000000000e+02,3.878587044569424547e-02
1.560000000000000000e+02,3.804511199736914512e-02
1.570000000000000000e+02,3.788191644970355376e-02
1.580000000000000000e+02,3.840875811998372552e-02
1.590000000000000000e+02,3.958765584035928847e-02
1.600000000000000000e+02,4.121132638427756761e-02
1.610000000000000000e+02,4.256364541183704081e-02
1.620000000000000000e+02,4.329984917590670029e-02
1.630000000000000000e+02,4.359884700678662295e-02
1.640000000000000000e+02,4.344181915070505912e-02
1.650000000000000000e+02,4.287513463970810124e-02
1.660000000000000000e+02,4.180397157632800148e-02
1.670000000000000000e+02,4.016347636554293971e-02
1.680000000000000000e+02,3.842729827293971806e-02
1.690000000000000000e+02,3.726032936946611224e-02
1.700000000000000000e+02,3.653840259496298620e-02
1.710000000000000000e+02,3.632828761707560666e-02
1.720000000000000000e+02,3.645423235013271757e-02
1.730000000000000000e+02,3.667900884295757086e-02
1.740000000000000000e+02,3.702151547300781831e-02
1.750000000000000000e+02,3.757696685073765724e-02
1.760000000000000000e+02,3.831669279705441494e-02
1.770000000000000000e+02,3.923488983762594279e-02
1.780000000000000000e+02,4.043141951865034112e-02
1.790000000000000000e+02,4.170151967741299315e-02
1.800000000000000000e+02,4.284815339812322876e-02
1.810000000000000000e+02,4.381609278016702219e-02
1.820000000000000000e+02,4.472837502821028904e-02
1.830000000000000000e+02,4.536664573020066094e-02
1.840000000000000000e+02,4.560369118905702873e-02
1.850000000000000000e+02,4.549118069113734786e-02
1.860000000000000000e+02,4.501930210304528474e-02
1.870000000000000000e+02,4.434291449666580981e-02
1.880000000000000000e+02,4.353716738132502179e-02
1.890000000000000000e+02,4.268802355045252239e-02
1.900000000000000000e+02,4.176126358070723910e-02
1.910000000000000000e+02,4.108445044880260771e-02
1.920000000000000000e+02,4.064097510741228325e-02
1.930000000000000000e+02,4.043832754824971260e-02
1.940000000000000000e+02,4.048152739731594035e-02
1.950000000000000000e+02,4.086272010040328806e-02
1.960000000000000000e+02,4.135428752829179572e-02
1.970000000000000000e+02,4.207185788749950167e-02
1.980000000000000000e+02,4.288328068507775426e-02
1.990000000000000000e+02,4.369409753035677357e-02
2.000000000000000000e+02,4.502713546352005852e-02
2.010000000000000000e+02,4.612986900476990365e-02
2.020000000000000000e+02,4.652288592110545573e-02
2.030000000000000000e+02,4.603140028584033067e-02
2.040000000000000000e+02,4.466105390252479712e-02
2.050000000000000000e+02,4.314506972098849230e-02
2.060000000000000000e+02,4.253612669231999349e-02
2.070000000000000000e+02,4.254018341688295402e-02
2.080000000000000000e+02,4.311561200472340677e-02
2.090000000000000000e+02,4.413582284969548575e-02
2.100000000000000000e+02,4.532809219264947315e-02
2.110000000000000000e+02,4.670671235538603056e-02
2.120000000000000000e+02,4.836012402671940880e-02
