Wavenumber,Intensity
2.570000000000000000e+02,1.305034989316239660e+02
2.580000000000000000e+02,1.406663283475783999e+02
2.590000000000000000e+02,1.506464743589743875e+02
2.600000000000000000e+02,1.590576923076923208e+02
2.610000000000000000e+02,1.674886707621083133e+02
2.620000000000000000e+02,1.760399305555555713e+02
2.630000000000000000e+02,1.842712918447293760e+02
2.640000000000000000e+02,1.910245014245014374e+02
2.650000000000000000e+02,1.970314058048433026e+02
2.660000000000000000e+02,2.003089654558404220e+02
2.670000000000000000e+02,2.035903579059828985e+02
2.680000000000000000e+02,2.068831552706552657e+02
2.690000000000000000e+02,2.104561030982906118e+02
2.700000000000000000e+02,2.147204861111111143e+02
2.710000000000000000e+02,2.180378338675213854e+02
2.720000000000000000e+02,2.193896367521367665e+02
2.730000000000000000e+02,2.207621883903133835e+02
2.740000000000000000e+02,2.221713141025640823e+02
2.750000000000000000e+02,2.236999421296296191e+02
2.760000000000000000e+02,2.254087428774928696e+02
2.770000000000000000e+02,2.266665242165242091e+02
2.780000000000000000e+02,2.273398860398860393e+02
2.790000000000000000e+02,2.270689147079771999e+02
2.800000000000000000e+02,2.257432336182336030e+02
2.810000000000000000e+02,2.242424189814814781e+02
2.820000000000000000e+02,2.225728009259259181e+02
2.830000000000000000e+02,2.210858262108261840e+02
2.840000000000000000e+02,2.197507122507122403e+02
2.850000000000000000e+02,2.173587740384615472e+02
2.860000000000000000e+02,2.142103721509971592e+02
2.870000000000000000e+02,2.094303418803418424e+02
2.880000000000000000e+02,2.036487179487179162e+02
2.890000000000000000e+02,1.987825765669515476e+02
2.900000000000000000e+02,1.943955662393162243e+02
2.910000000000000000e+02,1.901956819800569747e+02
2.920000000000000000e+02,1.860785968660968308e+02
2.930000000000000000e+02,1.809237580128204854e+02
2.940000000000000000e+02,1.753852118945868881e+02
2.950000000000000000e+02,1.707458823005698036e+02
2.960000000000000000e+02,1.663799145299144868e+02
2.970000000000000000e+02,1.620751780626780487e+02
2.980000000000000000e+02,1.577853988603988569e+02
2.990000000000000000e+02,1.520551193019942957e+02
3.000000000000000000e+02,1.460514601139601041e+02
3.010000000000000000e+02,1.389115162037035986e+02
3.020000000000000000e+02,1.316126513532762772e+02
3.030000000000000000e+02,1.243535835113959536e+02
3.040000000000000000e+02,1.170982549857549628e+02
3.050000000000000000e+02,1.082814725783475751e+02
3.060000000000000000e+02,9.938409900284889886e+01
3.070000000000000000e+02,9.312132300569794552e+01
3.080000000000000000e+02,8.691518874643871584e+01
3.090000000000000000e+02,8.165962873931621857e+01
3.100000000000000000e+02,7.632215990028490182e+01
3.110000000000000000e+02,6.973148593304836140e+01
3.120000000000000000e+02,6.327799145299140804e+01
3.130000000000000000e+02,5.808483351139597772e+01
3.140000000000000000e+02,5.317235576923075513e+01
3.150000000000000000e+02,5.005878294159543884e+01
3.160000000000000000e+02,4.695480769230765361e+01
3.170000000000000000e+02,4.389710648148145111e+01
3.180000000000000000e+02,4.096381766381765033e+01
3.190000000000000000e+02,3.850256410256409367e+01
3.200000000000000000e+02,3.604825498575497988e+01
3.210000000000000000e+02,3.361530003561250624e+01
3.220000000000000000e+02,3.156567841880340808e+01
3.230000000000000000e+02,3.049105680199429713e+01
3.240000000000000000e+02,2.952037037037037237e+01
3.250000000000000000e+02,2.877154558404558315e+01
3.260000000000000000e+02,2.802272079772078683e+01
3.270000000000000000e+02,2.727389601139601538e+01
3.280000000000000000e+02,2.647521367521366997e+01
3.290000000000000000e+02,2.559940794159542676e+01
3.300000000000000000e+02,2.481583867521367281e+01
3.310000000000000000e+02,2.415481214387463638e+01
3.320000000000000000e+02,2.340514601139601680e+01
3.330000000000000000e+02,2.255401086182335746e+01
3.340000000000000000e+02,2.182589031339030328e+01
3.350000000000000000e+02,2.121928418803418737e+01
3.360000000000000000e+02,2.090491452991453158e+01
3.370000000000000000e+02,2.083961004273504614e+01
3.380000000000000000e+02,2.093666310541311049e+01
3.390000000000000000e+02,2.115289351851852473e+01
3.400000000000000000e+02,2.133796296296296546e+01
3.410000000000000000e+02,2.150340099715100095e+01
3.420000000000000000e+02,2.167638888888888715e+01
3.430000000000000000e+02,2.185343660968661084e+01
3.440000000000000000e+02,2.163860398860398249e+01
3.450000000000000000e+02,2.124532585470085522e+01
3.460000000000000000e+02,2.093766915954415708e+01
3.470000000000000000e+02,2.066266470797721055e+01
3.480000000000000000e+02,2.037717236467236503e+01
3.490000000000000000e+02,2.008838141025640667e+01
3.500000000000000000e+02,1.971278490028490182e+01
3.510000000000000000e+02,1.931515313390313082e+01
3.520000000000000000e+02,1.891873219373219683e+01
3.530000000000000000e+02,1.852255163817663330e+01
3.540000000000000000e+02,1.811815349002848308e+01
3.550000000000000000e+02,1.771254006410256210e+01
3.560000000000000000e+02,1.721798433048432386e+01
3.570000000000000000e+02,1.671441417378917649e+01
3.580000000000000000e+02,1.633492699430199124e+01
3.590000000000000000e+02,1.596269141737891317e+01
3.600000000000000000e+02,1.558903133903134020e+01
3.610000000000000000e+02,1.521375534188033640e+01
3.620000000000000000e+02,1.475372150997151266e+01
3.630000000000000000e+02,1.430150017806267826e+01
3.640000000000000000e+02,1.398295940170939744e+01
3.650000000000000000e+02,1.367910879629629761e+01
3.660000000000000000e+02,1.352020121082620996e+01
3.670000000000000000e+02,1.336335024928775184e+01
3.680000000000000000e+02,1.322040598290598190e+01
3.690000000000000000e+02,1.308491363960113674e+01
3.700000000000000000e+02,1.298695690883190856e+01
3.710000000000000000e+02,1.289281962250712077e+01
3.720000000000000000e+02,1.281372863247863236e+01
3.730000000000000000e+02,1.275738069800569718e+01
3.740000000000000000e+02,1.277334401709401668e+01
3.750000000000000000e+02,1.279711983618233440e+01
3.760000000000000000e+02,1.284138176638176532e+01
3.770000000000000000e+02,1.287474626068375905e+01
3.780000000000000000e+02,1.288417913105413071e+01
3.790000000000000000e+02,1.293624020655270712e+01
3.800000000000000000e+02,1.306757478632478531e+01
3.810000000000000000e+02,1.321040776353276414e+01
3.820000000000000000e+02,1.337149216524216477e+01
3.830000000000000000e+02,1.353073361823362042e+01
3.840000000000000000e+02,1.368746438746438976e+01
3.850000000000000000e+02,1.389928329772079785e+01
3.860000000000000000e+02,1.417573896011396251e+01
3.870000000000000000e+02,1.434402154558404519e+01
3.880000000000000000e+02,1.440279558404558458e+01
3.890000000000000000e+02,1.448596866096866265e+01
3.900000000000000000e+02,1.459045584045584043e+01
3.910000000000000000e+02,1.467921118233618394e+01
3.920000000000000000e+02,1.475612535612535936e+01
3.930000000000000000e+02,1.482025908119658375e+01
3.940000000000000000e+02,1.487613069800569932e+01
3.950000000000000000e+02,1.486142272079771942e+01
3.960000000000000000e+02,1.480772792022791862e+01
3.970000000000000000e+02,1.475699786324786089e+01
3.980000000000000000e+02,1.470765669515669494e+01
3.990000000000000000e+02,1.467081552706552650e+01
4.000000000000000000e+02,1.463888888888888751e+01
4.010000000000000000e+02,1.456534900284900047e+01
4.020000000000000000e+02,1.447827635327635143e+01
4.030000000000000000e+02,1.439464921652421658e+01
4.040000000000000000e+02,1.431193019943019884e+01
4.050000000000000000e+02,1.422800925925925775e+01
4.060000000000000000e+02,1.414383903133902898e+01
